,date,text,user
141,14/3/16 20:03,"Vidal se separó del dorima, q carameliii",Uba Cl
142,14/3/16 20:08,Ta rica,Sebi Cell
143,14/3/16 23:07,🅱,Pon Cl
144,14/3/16 23:07,🅱,Sebi Cell
145,14/3/16 23:07,🅱,Moda Cl
146,14/3/16 23:08,Uuuoooo,Sebi Cell
147,14/3/16 23:08,🅱,Uba Cl
148,14/3/16 23:10,🐔,Iña Cell
149,14/3/16 23:10,"Tiraste gas, abandonaste",Fede Sharley
150,14/3/16 23:10,Esa mancha no se borra nunca mas,Fede Sharley
151,14/3/16 23:10,Lady Gago,Fede Sharley
152,14/3/16 23:10,Mas creatividad,Fede Sharley
153,14/3/16 23:10,Parece un play en loop esto,Fede Sharley
154,14/3/16 23:11,La vida misma,Pon Cl
155,14/3/16 23:11,Un inferno,Fede Sharley
156,15/3/16 09:40,<Multimedia omitido>,Fede Sharley
157,15/3/16 09:40,No olvidar,Fede Sharley
158,15/3/16 09:42,te cascaste con esa foteli no?,Lobo cl
159,15/3/16 09:43,Pegada en el loker,Sebi Cell
160,15/3/16 09:44,No olvidar,Pon Cl
161,15/3/16 09:55,Intente cascarme pero me la bajaba la face,Fede Sharley
162,15/3/16 09:56,Y que sea k,Fede Sharley
163,15/3/16 09:56,Ah,Fede Sharley
164,15/3/16 09:57,Mife tas picu?,Fede Sharley
165,15/3/16 10:05,Oooobveeo,Rama cl
166,15/3/16 10:26,Cuando sale un tefuer? Existen aún?,Sebi Cell
167,15/3/16 10:27,Wolf?,Sebi Cell
168,15/3/16 10:28,sabado cumple uba,Lobo cl
169,15/3/16 10:31,No dijo nada el uba,Sebi Cell
170,15/3/16 10:31,No quiere,Sebi Cell
171,15/3/16 10:41,Se está gestando,Uba Cl
172,15/3/16 10:41,Asado no pq somos mu,Uba Cl
173,15/3/16 10:41,Clave,dona Cel
174,15/3/16 10:41,Asado participativo,dona Cel
175,15/3/16 10:42,Cumple interactivo es buena. De 22 a 24 todos al whats up,Sebi Cell
176,15/3/16 10:43,Por skype,dona Cel
177,15/3/16 10:43,Ojo,dona Cel
178,15/3/16 10:43,ya no existe la tefuer,Lobo cl
179,15/3/16 10:44,Ya no existe,Sebi Cell
180,15/3/16 11:44,In,Sebi Cell
181,15/3/16 11:47,cuando vuelva sale en devoto una fuerte,Shafal
182,15/3/16 11:47,emalove ivita un cajon de birra,Shafal
183,15/3/16 11:47,y dos fernet,Shafal
184,15/3/16 11:47,desp a fly fish,Shafal
185,15/3/16 11:53,In,Iña Cell
186,15/3/16 13:57,si tienen unos minutos,Lobo cl
187,15/3/16 13:57,miren a kici en el congreso tremendo,Lobo cl
188,15/3/16 15:25,"Sesiones en la cámara, estan escuchando?",Sebi Cell
189,15/3/16 15:33,<Multimedia omitido>,Lobo cl
190,15/3/16 15:33,<Multimedia omitido>,Lobo cl
191,16/3/16 09:03,<Multimedia omitido>,Fede Sharley
192,16/3/16 13:08,Che,Oguitoo
193,16/3/16 13:08,Lo pones al morenmono?,Oguitoo
194,16/3/16 13:08,Ok no,Oguitoo
195,16/3/16 13:09,<Multimedia omitido>,Lobo cl
196,16/3/16 13:09,hace una semaaaa que sos ad .,Lobo cl
197,16/3/16 13:14,<Multimedia omitido>,Pon Cl
198,16/3/16 13:17,jaaaaaaa,Lobo cl
199,16/3/16 13:26,quetimporta,Joaquin
200,16/3/16 13:33,Che es muy bueno en serio,Fede Sharley
201,16/3/16 13:34,es excelente,Lobo cl
202,16/3/16 13:35,Medio pelo,Sebi Cell
203,16/3/16 13:35,envidioso,Lobo cl
204,16/3/16 13:36,<Multimedia omitido>,Pon Cl
205,16/3/16 14:46,https://youtu.be/ImynYz3rp74,Pon Cl
206,16/3/16 15:47,Riiiiqueee lme Riiiiqueee lme,Moda Cl
207,16/3/16 15:50,Rrrrriiguee riiigueeee,Sebi Cell
208,16/3/16 15:51,Sale la espontánea?,Sebi Cell
209,16/3/16 15:51,U wrong group,Sebi Cell
210,16/3/16 15:51,Pero sale?,Sebi Cell
211,16/3/16 15:52,WG,Moda Cl
212,16/3/16 15:52,🅱,Moda Cl
213,16/3/16 15:58,🅱,Sebi Cell
214,16/3/16 16:05,🅱,Uba Cl
215,16/3/16 16:05,🇨🇱,Uba Cl
216,16/3/16 16:05,Ah,Uba Cl
217,16/3/16 16:05,ogo contate algo de Méx,Joaquin
218,16/3/16 16:06,seguis en el depto con pileta narco?,Joaquin
220,16/3/16 16:42,Riti,Oguitoo
221,16/3/16 16:42,Tas por ahi?,Oguitoo
222,16/3/16 16:42,"Si, me mudo a fin de mes",Oguitoo
223,16/3/16 16:42,A mansión narco en la ruta,Oguitoo
224,16/3/16 16:42,Con un amigo,Oguitoo
225,16/3/16 16:42,Riiiti,Oguitoo
226,16/3/16 16:42,Veni,Oguitoo
228,16/3/16 16:43,"Y ""sus misas""",Oguitoo
229,16/3/16 16:43,Y la cofradia,Oguitoo
230,16/3/16 16:43,Y esta cancion,Oguitoo
231,16/3/16 16:43,https://youtu.be/XF5Ciawe7y8,Oguitoo
232,16/3/16 16:43,Ah,Oguitoo
233,16/3/16 18:16,<Multimedia omitido>,Shafal
234,16/3/16 18:16,Bieeeen,Fede Sharley
235,16/3/16 18:16,cuando volvesssss,Lobo cl
236,16/3/16 18:16,?,Lobo cl
237,16/3/16 18:16,30,Shafal
238,16/3/16 19:25,Hola ogui,Riti Cell
239,16/3/16 19:45,Hola rickii,Oguitoo
240,16/3/16 19:46,inbox,Lobo cl
241,16/3/16 20:30,Riiicky,Oguitoo
242,16/3/16 20:30,Ah,Oguitoo
243,16/3/16 20:32,Kick,Sebi Cell
244,16/3/16 20:32,Uba vas a anunciar algo o nada?,Sebi Cell
245,16/3/16 20:36,Cumple por streaming,Rama cl
246,16/3/16 20:36,Ta tan ta taaaaan,Uba Cl
247,16/3/16 20:36,Ah,Uba Cl
248,16/3/16 20:38,Paso el datongo: Sábado 19/3 a las 23 hrs previa en Maure. A eso de 1:30 nos vamos para vuela el peish.,Uba Cl
249,16/3/16 20:39,"Viene los del workele, así q seremos miles lish",Uba Cl
250,16/3/16 20:39,A comprar vasitos,Uba Cl
251,16/3/16 20:39,Cedio a la presión. In.,Sebi Cell
252,16/3/16 20:40,Más tierno q gago,Uba Cl
253,16/3/16 20:40,Che trivi,Oguitoo
254,16/3/16 21:32,gas,Lobo cl
255,16/3/16 21:32,😳🅱,Pon Cl
256,16/3/16 21:40,Che vitri,Oguitoo
257,16/3/16 21:42,Pocoo,Sebi Cell
258,16/3/16 21:44,Chau,Oguitoo
260,16/3/16 21:44,"Ah, por fin",Oguitoo
262,16/3/16 21:45,Op,Oguitoo
263,16/3/16 21:46,Me volvi loco de poder,Oguitoo
264,16/3/16 21:46,Lo siento,Oguitoo
265,16/3/16 21:46,Upa.,Sebi Cell
266,16/3/16 21:50,Jajaja,Uba Cl
267,16/3/16 21:52,igual que todos los politicos,Lobo cl
268,16/3/16 21:53,"Ogui, necesitas algo? Te sirvo un café?",Uba Cl
269,16/3/16 21:53,Ah,Uba Cl
270,16/3/16 21:53,Ajaja,Oguitoo
271,16/3/16 21:54,ÑO,Oguitoo
273,16/3/16 21:54,rompiste que more de aca de alla,Lobo cl
274,17/3/16 00:39,Feliz cumple Dahl!,dona Cel
275,17/3/16 02:32,Daaaale neeegro,Oguitoo
276,17/3/16 07:30,Feliz cumpleeee negra,Pelado Ale
277,17/3/16 07:32,Gracias muchachotes!!!,Uba Cl
278,17/3/16 07:38,da las dahl. feliz cumple ubetaa,Joaquin
279,17/3/16 07:40,Feliz cumple blaak,Sebi Cell
280,17/3/16 07:41,Graciaaaaaa,Uba Cl
281,17/3/16 07:55,Ubaaaaa ubaaaaa,URI
282,17/3/16 07:55,Feliz cumple ubita,URI
283,17/3/16 07:59,Feliz cumple negroooooo,Riti Cell
284,17/3/16 08:31,Gracias monos,Uba Cl
285,17/3/16 08:52,Entrega las Dahl!!,Moda Cl
286,17/3/16 08:53,Feliz cumple ubita!,Moda Cl
287,17/3/16 08:53,Dale hoy,Moda Cl
288,17/3/16 08:54,✌🏾🇨🇱✌🏾🇮🇱,Uba Cl
289,17/3/16 08:57,Feliz cumple ubil!,Pon Cl
290,17/3/16 09:09,Daaaaleeee eeeh,Rama cl
291,17/3/16 09:09,ubita te vamo a matar,Joaquin
292,17/3/16 09:09,Felicidadess papa,Rama cl
293,17/3/16 09:09,con vos se reanuda,Joaquin
294,17/3/16 09:13,A saaaaaa?,Uba Cl
295,17/3/16 09:14,feliizzz cumpleee chileee,Lobo cl
296,17/3/16 09:15,"""No te va a salvar ni Freud ni Lacan"" es una frase hermosa",Moda Cl
297,17/3/16 09:15,CVSR,Sebi Cell
298,17/3/16 09:15,"temon ""ni froi ni lakam""",Sebi Cell
299,17/3/16 09:22,Feliz cumple rrrrrrrubia! Dale suuuuuuunchi eh,Fede Sharley
300,17/3/16 09:25,"""Levanten las mano, los q mueren, en bufano...""",Sebi Cell
301,17/3/16 09:27,Jajajaja q lirica,Uba Cl
302,17/3/16 11:05,<Multimedia omitido>,Pon Cl
303,17/3/16 11:06,Juju,Pon Cl
304,17/3/16 11:11,feliz cumple amigo!! gracias por compartir algo de la tuntura y por repartir la discriminacion de estos hdp q tenemos de amigos!!,Shafal
305,17/3/16 11:11,ah,Shafal
306,17/3/16 11:12,"que peinado dahl, esas chuchas violestas no se.olvidaran",Shafal
307,17/3/16 12:17,Esas chapas no se borran nunca maaaaaa,Uba Cl
308,17/3/16 13:07,Desde DiariosArgentinos de Tachanfil http://www.infobae.com/2016/03/17/1797793,Muse Cell
309,17/3/16 16:28,hoy alguno se copa con el peixe?,Lobo cl
310,17/3/16 16:28,pre de la pre clave,Lobo cl
311,17/3/16 16:52,<Multimedia omitido>,Sebi Cell
312,18/3/16 09:01,<Multimedia omitido>,Fede Sharley
313,18/3/16 09:05,A por eso me entrevistaron ayer.,Sebi Cell
314,18/3/16 09:06,<Multimedia omitido>,Fede Sharley
315,18/3/16 09:06,Ah,Fede Sharley
316,18/3/16 09:25,<Multimedia omitido>,Shafal
317,18/3/16 12:10,Jaja,Oguitoo
318,18/3/16 12:10,Mr Clima te anhelo,Oguitoo
319,18/3/16 12:11,obvio q pasa la gallina primero,Joaquin
320,18/3/16 12:14,claramente vino primero el huevo,Lobo cl
321,18/3/16 12:14,es obvioooo,Lobo cl
322,18/3/16 12:15,A ver lobo,Oguitoo
323,18/3/16 12:15,Quien lo empollo entonces?,Oguitoo
324,18/3/16 12:15,Tiene razón lobo loco ya está compribadisimo,Sebi Cell
325,18/3/16 12:16,"El 1er huevo no lo empolló nadie, es el resultado de fórmulas químicas ybla cáscara mix de durezas q había en el mar",Sebi Cell
326,18/3/16 12:17,"El mar escupio un huevo, mucho más lógico eso q salga un pollo de la nada",Sebi Cell
327,18/3/16 12:17,Suena más lógico que pensar que de repente PLOP,Oguitoo
328,18/3/16 12:17,Nagalli,Oguitoo
329,18/3/16 12:17,Claa,Oguitoo
330,18/3/16 12:17,Claa,Sebi Cell
331,18/3/16 12:17,"Cae un rayo y plop, una gallina. No.",Sebi Cell
332,18/3/16 12:19,esatooooo,Lobo cl
333,18/3/16 12:20,que vino primero la joda o la quinta?,Lobo cl
334,18/3/16 12:22,La 4ta,Sebi Cell
335,18/3/16 12:25,una gallina involuciónada pero gallina al fin saco un huevo del orto,Joaquin
336,18/3/16 12:46,"Y, justamente, no es gallina",Riti Cell
337,18/3/16 12:47,El huevo si es huevo y será galli a,Riti Cell
338,18/3/16 12:47,"una gallina rústica, medio desplumada ritii",Joaquin
339,18/3/16 12:48,Claro,Riti Cell
340,18/3/16 12:48,"Antes que cualquier gallina, el Xeneixe (papá). Sería entonces, Boca, huevo, gallina.",Pon Cl
341,18/3/16 12:48,La quinta y después la joda,Pon Cl
342,18/3/16 12:48,Qh,Pon Cl
343,18/3/16 12:48,el huevo no,Riti Cell
344,18/3/16 13:17,El huevo ya está comprobado e,Sebi Cell
345,18/3/16 13:56,https://youtu.be/3Rc4d6gFpNI,Pon Cl
346,18/3/16 13:56,Atento ogo,Pon Cl
347,18/3/16 14:06,jajaja. Ai ai me maaata,Joaquin
348,18/3/16 14:07,desaaapilaantw,Joaquin
349,18/3/16 14:11,Che lo q está el pelado en la foto,Uba Cl
350,18/3/16 14:11,Ah,Uba Cl
351,18/3/16 14:28,A q hora se descontrola?,Iña Cell
352,18/3/16 14:54,Perdi objetivodad men,Oguitoo
353,18/3/16 14:54,Me parece malisima,Oguitoo
354,18/3/16 14:55,Yo soy contador y me parece una verga también jajaja,Fede Sharley
355,18/3/16 14:55,La idea me parece buena pero baja como el orto.,Oguitoo
361,18/3/16 14:57,No es jackie chan,Oguitoo
362,18/3/16 14:57,Wooo,Oguitoo
363,18/3/16 15:40,Uoooooo,Uba Cl
364,18/3/16 15:45,Vamooooooooooooooooooooooo al fin,Pelado Ale
365,18/3/16 15:50,🦁,Iña Cell
366,18/3/16 15:57,👺,Sebi Cell
367,18/3/16 15:58,Wingardum leviousa,Sebi Cell
368,18/3/16 16:00,"🐉,  lo q me. costo encontrarlo",Joaquin
369,18/3/16 16:02,🏸,Iña Cell
370,18/3/16 16:04,Jajajajaja,Oguitoo
371,18/3/16 16:04,Wingardium leviosaaaa,Oguitoo
372,18/3/16 16:04,Jajajajakajjajaj,Oguitoo
373,18/3/16 17:51,<Multimedia omitido>,Uba Cl
374,18/3/16 17:51,Diría Fernando: se nota muuuuucho,Uba Cl
375,18/3/16 17:52,mmmm yo doy fe,Lobo cl
376,18/3/16 17:52,de eso,Lobo cl
377,18/3/16 17:59,es solo para hacer feliz a papa,Shafal
378,18/3/16 17:59,al pedo ka universidad,Shafal
379,18/3/16 17:59,sino miralo al muse cago a dos amigos y se hizo un imperio,Shafal
380,18/3/16 17:59,ah,Shafal
381,18/3/16 18:17,Te vi ee,Muse Cell
382,18/3/16 18:17,Eso lo aprendió en la facu,Iña Cell
383,18/3/16 18:18,en camino a la gloria lo aprendio,Lobo cl
384,18/3/16 18:18,museee la bicii,Lobo cl
385,18/3/16 18:20,#Godfather,Shafal
386,18/3/16 19:28,<Multimedia omitido>,Iña Cell
387,18/3/16 19:40,<Multimedia omitido>,Iña Cell
388,18/3/16 19:44,<Multimedia omitido>,Joaquin
389,18/3/16 19:44,"hola. viernes, chau nenas",Joaquin
390,18/3/16 19:45,Pasa algo hoy?,Sebi Cell
391,18/3/16 19:45,Wolf?,Sebi Cell
392,18/3/16 19:46,Él wolf ya no es lo que era,Fede Sharley
393,18/3/16 19:46,"Antes tiraba fiesturris, lo censuraron",Fede Sharley
394,18/3/16 19:46,No lo dejan ser,Fede Sharley
395,18/3/16 19:48,hoy estoy out,Lobo cl
396,18/3/16 19:48,mañana todo,Lobo cl
397,18/3/16 19:48,Hoy ILSE band?,Fede Sharley
398,18/3/16 19:48,tas loo,Lobo cl
399,18/3/16 19:49,Apo apo?,Sebi Cell
400,18/3/16 19:49,Ñaka ñaka?,Sebi Cell
401,18/3/16 19:49,Lamida de gla?,Fede Sharley
402,18/3/16 19:49,Zocaleada,Sebi Cell
403,18/3/16 19:49,Testeo de válvula perineal?,Fede Sharley
404,18/3/16 19:49,si lobo coloca hoy me mato posta,Joaquin
405,18/3/16 19:50,bye World,Joaquin
406,18/3/16 19:50,Che el more no emitió comment,Uba Cl
407,18/3/16 19:50,Lobo deci la verdad hermano. Vas a fornicar?,Fede Sharley
408,18/3/16 19:51,tranquiloooooo,Lobo cl
409,18/3/16 19:51,hoy juego al juego de los espejos,Lobo cl
410,18/3/16 19:51,con cucu,Lobo cl
411,18/3/16 19:51,Kick,Sebi Cell
412,18/3/16 19:53,Ya tendría q haber tirado dos chistes y un porno,Uba Cl
413,18/3/16 19:53,Mínimo,Uba Cl
414,18/3/16 19:53,/invocación,Joaquin
415,18/3/16 19:54,More mandate algo men,Sebi Cell
416,18/3/16 20:31,No le llegan los mensajes,Oguitoo
418,18/3/16 22:55,<Multimedia omitido>,Shafal
419,19/3/16 10:25,<Multimedia omitido>,Muse Cell
420,19/3/16 10:42,Jajaja,Moda Cl
421,19/3/16 10:42,Walking dead,Moda Cl
422,19/3/16 10:48,Jajaja,Sebi Cell
423,19/3/16 10:48,Kamisa?,Sebi Cell
424,19/3/16 13:17,Jajajaj shinco peshoooo,Uba Cl
425,19/3/16 14:42,Che la base de escavio es la siguiente:,Uba Cl
431,19/3/16 14:42,Traigan lo q quieran,Uba Cl
432,19/3/16 14:58,DH,Sebi Cell
433,19/3/16 16:28,<Multimedia omitido>,Shafal
434,19/3/16 16:32,tas como el de panico y locura negro,Lobo cl
435,19/3/16 17:09,Mismos lens,Riti Cell
436,19/3/16 17:10,Misma carga narcótica?,Riti Cell
437,19/3/16 17:10,#watchoutema,Riti Cell
438,19/3/16 17:28,#solsindrogas,Shafal
439,19/3/16 17:33,#elsolesladroga,Joaquin
440,19/3/16 20:06,"Gracias grone! Recuerden, a las 23 abre maure (3330 3b)",Uba Cl
441,19/3/16 20:06,hay postre?,Lobo cl
442,19/3/16 20:06,Por privado lobo,Uba Cl
443,19/3/16 20:08,Recuerden. Previa de la previa en verá. Abre 21,Sebi Cell
444,19/3/16 20:09,Llegamos picusos pa intimidar a los del laburo,Sebi Cell
445,19/3/16 20:13,Las,Uba Cl
446,19/3/16 20:22,algun tutu,Lobo cl
447,19/3/16 20:22,que me llevr,Lobo cl
448,19/3/16 20:22,?,Lobo cl
449,19/3/16 20:25,Q se yo ameo,Uba Cl
450,19/3/16 20:25,Jajaja flashe q era mensaje privado,Uba Cl
451,19/3/16 20:25,Esto de fumar menos ropo me está haciendo mal,Uba Cl
452,19/3/16 20:26,Jajajjaja,Sebi Cell
453,19/3/16 20:27,"Che el Telo va hoy? Llevenle un ron, le cae bien",Sebi Cell
454,19/3/16 20:28,rama ya picu?,Lobo cl
455,19/3/16 20:29,Van mini del laburo? Ricas?,Moda Cl
456,19/3/16 20:31,Rikittitash?,Sebi Cell
457,19/3/16 20:37,A 3 le das,Uba Cl
458,19/3/16 20:40,Después hay uno lgtbi,Uba Cl
459,19/3/16 20:41,Jajajaj,Oguitoo
460,19/3/16 20:41,Lo que es fumar menos men,Oguitoo
461,19/3/16 20:41,Jajaj,Oguitoo
462,19/3/16 20:42,A tres le das es muchisimo men ojo,Oguitoo
464,19/3/16 20:42,Daaaale eeee,Oguitoo
465,19/3/16 20:43,convertir a la lgtbi clave,Joaquin
466,19/3/16 20:44,Al no a la,Uba Cl
467,19/3/16 20:45,3 es un monton,Lobo cl
468,19/3/16 20:45,mas de lo que dio este grupo en toda su vida,Lobo cl
469,19/3/16 20:53,Si no lo veo no lo creo,Moda Cl
470,19/3/16 20:59,Sabio largo,Uba Cl
471,19/3/16 23:17,<Multimedia omitido>,Joaquin
472,19/3/16 23:18,<Multimedia omitido>,Iña Cell
473,19/3/16 23:18,<Multimedia omitido>,Fede Sharley
474,19/3/16 23:18,No olvidar,Fede Sharley
475,19/3/16 23:26,N O,Pon Cl
476,19/3/16 23:41,<Multimedia omitido>,Iña Cell
477,20/3/16 00:00,Ubs puerta,Pon Cl
478,20/3/16 00:00,🍇🚪,Pon Cl
479,20/3/16 00:32,0 de 3. uba traidor,Moda Cl
480,20/3/16 00:32,Mal,Sebi Cell
481,20/3/16 00:40,Jajajaja,Uba Cl
482,20/3/16 00:41,<Multimedia omitido>,Pon Cl
483,20/3/16 00:41,<Multimedia omitido>,Pon Cl
484,20/3/16 00:41,<Multimedia omitido>,Pon Cl
